Designator,Mid X,Mid Y,Layer,Rotation
L201,66.70,-19.06,T,180.00
L201,136.70,-80.56,T,180.00
L201,136.70,-19.06,T,180.00
L301,67.00,-98.40,T,180.00
L301,137.00,-98.40,T,180.00
L301,67.00,-36.90,T,180.00
L301,137.00,-36.90,T,180.00
L701,37.60,-58.30,T,90.00
L701,107.60,-58.30,T,90.00
L701,37.60,-119.80,T,90.00
L701,107.60,-119.80,T,90.00
L702,107.10,-51.50,T,0.00
L702,37.10,-51.50,T,0.00
L702,37.10,-113.00,T,0.00
L702,107.10,-113.00,T,0.00
P601,11.00,-18.40,T,0.00
P601,81.00,-18.40,T,0.00
P601,11.00,-79.90,T,0.00
P601,81.00,-79.90,T,0.00
P602,52.57,-100.30,B,180.00
P602,122.57,-38.80,B,180.00
P602,52.57,-38.80,B,180.00
P602,122.57,-100.30,B,180.00
P604,66.57,-18.70,B,180.00
P604,136.57,-18.70,B,180.00
P604,66.57,-80.20,B,180.00
P604,136.57,-80.20,B,180.00
Q1001,41.92,-33.53,T,0.00
Q1001,41.92,-95.03,T,0.00
Q1001,111.92,-33.53,T,0.00
Q1001,111.92,-95.03,T,0.00
Q1002,29.00,-20.45,T,0.00
Q1002,99.00,-20.45,T,0.00
Q1002,29.00,-81.95,T,0.00
Q1002,99.00,-81.95,T,0.00
Q1003,29.09,-33.80,T,0.00
Q1003,99.09,-33.80,T,0.00
Q1003,29.09,-95.30,T,0.00
Q1003,99.09,-95.30,T,0.00
Q301,111.90,-84.70,T,180.00
Q301,41.90,-23.20,T,180.00
Q301,41.90,-84.70,T,180.00
Q301,111.90,-23.20,T,180.00
Q302,41.90,-89.30,T,0.00
Q302,41.90,-27.80,T,0.00
Q302,111.90,-27.80,T,0.00
Q302,111.90,-89.30,T,0.00
Q303,124.50,-101.20,T,180.00
Q303,54.50,-39.70,T,180.00
Q303,54.50,-101.20,T,180.00
Q303,124.50,-39.70,T,180.00
R1001,112.82,-102.83,T,180.00
R1001,42.82,-102.83,T,180.00
R1001,112.82,-41.33,T,180.00
R1001,42.82,-41.33,T,180.00
R1002,30.00,-28.25,T,180.00
R1002,100.00,-28.25,T,180.00
R1002,30.00,-89.75,T,180.00
R1002,100.00,-89.75,T,180.00
R1003,100.05,-41.65,T,180.00
R1003,100.05,-103.15,T,180.00
R1003,30.05,-103.15,T,180.00
R1003,30.05,-41.65,T,180.00
R1004,110.92,-101.83,T,0.00
R1004,40.92,-101.83,T,0.00
R1004,40.92,-40.33,T,0.00
R1004,110.92,-40.33,T,0.00
R1005,110.92,-41.33,T,180.00
R1005,40.92,-102.83,T,180.00
R1005,40.92,-41.33,T,180.00
R1005,110.92,-102.83,T,180.00
R1006,40.92,-103.83,T,0.00
R1006,110.92,-42.33,T,0.00
R1006,40.92,-42.33,T,0.00
R1006,110.92,-103.83,T,0.00
R1007,28.10,-27.25,T,0.00
R1007,98.10,-27.25,T,0.00
R1007,28.10,-88.75,T,0.00
R1007,98.10,-88.75,T,0.00
R1008,28.10,-28.25,T,180.00
R1008,28.10,-89.75,T,180.00
R1008,98.10,-89.75,T,180.00
R1008,98.10,-28.25,T,180.00
R1009,28.10,-90.75,T,0.00
R1009,98.10,-90.75,T,0.00
R1009,28.10,-29.25,T,0.00
R1009,98.10,-29.25,T,0.00
R1010,28.15,-40.65,T,0.00
R1010,98.15,-102.15,T,0.00
R1010,98.15,-40.65,T,0.00
R1010,28.15,-102.15,T,0.00
R1011,28.15,-103.15,T,180.00
R1011,28.15,-41.65,T,180.00
R1011,98.15,-103.15,T,180.00
R1011,98.15,-41.65,T,180.00
R1012,28.17,-104.15,T,0.00
R1012,98.17,-42.65,T,0.00
R1012,28.17,-42.65,T,0.00
R1012,98.17,-104.15,T,0.00
R1013,112.82,-40.33,T,180.00
R1013,42.82,-101.83,T,180.00
R1013,42.82,-40.33,T,180.00
R1013,112.82,-101.83,T,180.00
R1014,42.82,-39.33,T,0.00
R1014,112.82,-100.83,T,0.00
R1014,42.82,-100.83,T,0.00
R1014,112.82,-39.33,T,0.00
R1015,100.00,-27.25,T,180.00
R1015,30.00,-27.25,T,180.00
R1015,30.00,-88.75,T,180.00
R1015,100.00,-88.75,T,180.00
R1016,100.00,-26.25,T,180.00
R1016,30.00,-87.75,T,180.00
R1016,100.00,-87.75,T,180.00
R1016,30.00,-26.25,T,180.00
R1017,100.05,-40.65,T,180.00
R1017,30.05,-102.15,T,180.00
R1017,100.05,-102.15,T,180.00
R1017,30.05,-40.65,T,180.00
R1018,30.05,-101.15,T,180.00
R1018,100.05,-39.65,T,180.00
R1018,30.05,-39.65,T,180.00
R1018,100.05,-101.15,T,180.00
R201,63.00,-31.15,T,0.00
R201,63.00,-92.65,T,0.00
R201,133.00,-92.65,T,0.00
R201,133.00,-31.15,T,0.00
R202,131.68,-23.77,T,0.00
R202,61.67,-23.77,T,0.00
R202,131.68,-85.27,T,0.00
R202,61.67,-85.27,T,0.00
R203,68.70,-31.10,T,0.00
R203,138.70,-92.60,T,0.00
R203,68.70,-92.60,T,0.00
R203,138.70,-31.10,T,0.00
R204,65.06,-93.04,T,90.00
R204,65.06,-31.54,T,90.00
R204,135.06,-93.04,T,90.00
R204,135.06,-31.54,T,90.00
R205,66.10,-93.05,T,270.00
R205,136.10,-93.05,T,270.00
R205,136.10,-31.55,T,270.00
R205,66.10,-31.55,T,270.00
R206,67.15,-93.05,T,270.00
R206,137.15,-93.05,T,270.00
